# Windows: CP932, iconv: SHIFT_JIS
入力コード	入力バイト列(16進)	Windows_CP932:デコード成功	Windows_CP932:Unicodeコードポイント	Windows_CP932:文字	Windows_CP932:元に戻る	Windows_CP932:再エンコード結果(16進)	iconv:デコード成功	iconv:Unicodeコードポイント	iconv:文字	iconv:元に戻る	iconv:再エンコード結果(16進)	iconv→Windows_CP932:エンコード可能	iconv→Windows_CP932:元に戻る	iconv→Windows_CP932:再エンコード結果(16進)	差分フラグ(ビット値)	差分内容
0x8480	84 80	1	0x0000043E	о	1	84 80	1	0x0000043E	о	1	84 80	1	1	84 80	0	差分なし
0x8481	84 81	1	0x0000043F	п	1	84 81	1	0x0000043F	п	1	84 81	1	1	84 81	0	差分なし
0x8482	84 82	1	0x00000440	р	1	84 82	1	0x00000440	р	1	84 82	1	1	84 82	0	差分なし
0x8483	84 83	1	0x00000441	с	1	84 83	1	0x00000441	с	1	84 83	1	1	84 83	0	差分なし
0x8484	84 84	1	0x00000442	т	1	84 84	1	0x00000442	т	1	84 84	1	1	84 84	0	差分なし
0x8485	84 85	1	0x00000443	у	1	84 85	1	0x00000443	у	1	84 85	1	1	84 85	0	差分なし
0x8486	84 86	1	0x00000444	ф	1	84 86	1	0x00000444	ф	1	84 86	1	1	84 86	0	差分なし
0x8487	84 87	1	0x00000445	х	1	84 87	1	0x00000445	х	1	84 87	1	1	84 87	0	差分なし
0x8488	84 88	1	0x00000446	ц	1	84 88	1	0x00000446	ц	1	84 88	1	1	84 88	0	差分なし
0x8489	84 89	1	0x00000447	ч	1	84 89	1	0x00000447	ч	1	84 89	1	1	84 89	0	差分なし
0x848A	84 8A	1	0x00000448	ш	1	84 8A	1	0x00000448	ш	1	84 8A	1	1	84 8A	0	差分なし
0x848B	84 8B	1	0x00000449	щ	1	84 8B	1	0x00000449	щ	1	84 8B	1	1	84 8B	0	差分なし
0x848C	84 8C	1	0x0000044A	ъ	1	84 8C	1	0x0000044A	ъ	1	84 8C	1	1	84 8C	0	差分なし
0x848D	84 8D	1	0x0000044B	ы	1	84 8D	1	0x0000044B	ы	1	84 8D	1	1	84 8D	0	差分なし
0x848E	84 8E	1	0x0000044C	ь	1	84 8E	1	0x0000044C	ь	1	84 8E	1	1	84 8E	0	差分なし
0x848F	84 8F	1	0x0000044D	э	1	84 8F	1	0x0000044D	э	1	84 8F	1	1	84 8F	0	差分なし
0x8490	84 90	1	0x0000044E	ю	1	84 90	1	0x0000044E	ю	1	84 90	1	1	84 90	0	差分なし
0x8491	84 91	1	0x0000044F	я	1	84 91	1	0x0000044F	я	1	84 91	1	1	84 91	0	差分なし
0x8492	84 92	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8493	84 93	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8494	84 94	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8495	84 95	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8496	84 96	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8497	84 97	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8498	84 98	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8499	84 99	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x849A	84 9A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x849B	84 9B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x849C	84 9C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x849D	84 9D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x849E	84 9E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x849F	84 9F	1	0x00002500	─	1	84 9F	1	0x00002500	─	1	84 9F	1	1	84 9F	0	差分なし
0x84A0	84 A0	1	0x00002502	│	1	84 A0	1	0x00002502	│	1	84 A0	1	1	84 A0	0	差分なし
0x84A1	84 A1	1	0x0000250C	┌	1	84 A1	1	0x0000250C	┌	1	84 A1	1	1	84 A1	0	差分なし
0x84A2	84 A2	1	0x00002510	┐	1	84 A2	1	0x00002510	┐	1	84 A2	1	1	84 A2	0	差分なし
0x84A3	84 A3	1	0x00002518	┘	1	84 A3	1	0x00002518	┘	1	84 A3	1	1	84 A3	0	差分なし
0x84A4	84 A4	1	0x00002514	└	1	84 A4	1	0x00002514	└	1	84 A4	1	1	84 A4	0	差分なし
0x84A5	84 A5	1	0x0000251C	├	1	84 A5	1	0x0000251C	├	1	84 A5	1	1	84 A5	0	差分なし
0x84A6	84 A6	1	0x0000252C	┬	1	84 A6	1	0x0000252C	┬	1	84 A6	1	1	84 A6	0	差分なし
0x84A7	84 A7	1	0x00002524	┤	1	84 A7	1	0x00002524	┤	1	84 A7	1	1	84 A7	0	差分なし
0x84A8	84 A8	1	0x00002534	┴	1	84 A8	1	0x00002534	┴	1	84 A8	1	1	84 A8	0	差分なし
0x84A9	84 A9	1	0x0000253C	┼	1	84 A9	1	0x0000253C	┼	1	84 A9	1	1	84 A9	0	差分なし
0x84AA	84 AA	1	0x00002501	━	1	84 AA	1	0x00002501	━	1	84 AA	1	1	84 AA	0	差分なし
0x84AB	84 AB	1	0x00002503	┃	1	84 AB	1	0x00002503	┃	1	84 AB	1	1	84 AB	0	差分なし
0x84AC	84 AC	1	0x0000250F	┏	1	84 AC	1	0x0000250F	┏	1	84 AC	1	1	84 AC	0	差分なし
0x84AD	84 AD	1	0x00002513	┓	1	84 AD	1	0x00002513	┓	1	84 AD	1	1	84 AD	0	差分なし
0x84AE	84 AE	1	0x0000251B	┛	1	84 AE	1	0x0000251B	┛	1	84 AE	1	1	84 AE	0	差分なし
0x84AF	84 AF	1	0x00002517	┗	1	84 AF	1	0x00002517	┗	1	84 AF	1	1	84 AF	0	差分なし
0x84B0	84 B0	1	0x00002523	┣	1	84 B0	1	0x00002523	┣	1	84 B0	1	1	84 B0	0	差分なし
0x84B1	84 B1	1	0x00002533	┳	1	84 B1	1	0x00002533	┳	1	84 B1	1	1	84 B1	0	差分なし
0x84B2	84 B2	1	0x0000252B	┫	1	84 B2	1	0x0000252B	┫	1	84 B2	1	1	84 B2	0	差分なし
0x84B3	84 B3	1	0x0000253B	┻	1	84 B3	1	0x0000253B	┻	1	84 B3	1	1	84 B3	0	差分なし
0x84B4	84 B4	1	0x0000254B	╋	1	84 B4	1	0x0000254B	╋	1	84 B4	1	1	84 B4	0	差分なし
0x84B5	84 B5	1	0x00002520	┠	1	84 B5	1	0x00002520	┠	1	84 B5	1	1	84 B5	0	差分なし
0x84B6	84 B6	1	0x0000252F	┯	1	84 B6	1	0x0000252F	┯	1	84 B6	1	1	84 B6	0	差分なし
0x84B7	84 B7	1	0x00002528	┨	1	84 B7	1	0x00002528	┨	1	84 B7	1	1	84 B7	0	差分なし
0x84B8	84 B8	1	0x00002537	┷	1	84 B8	1	0x00002537	┷	1	84 B8	1	1	84 B8	0	差分なし
0x84B9	84 B9	1	0x0000253F	┿	1	84 B9	1	0x0000253F	┿	1	84 B9	1	1	84 B9	0	差分なし
0x84BA	84 BA	1	0x0000251D	┝	1	84 BA	1	0x0000251D	┝	1	84 BA	1	1	84 BA	0	差分なし
0x84BB	84 BB	1	0x00002530	┰	1	84 BB	1	0x00002530	┰	1	84 BB	1	1	84 BB	0	差分なし
0x84BC	84 BC	1	0x00002525	┥	1	84 BC	1	0x00002525	┥	1	84 BC	1	1	84 BC	0	差分なし
0x84BD	84 BD	1	0x00002538	┸	1	84 BD	1	0x00002538	┸	1	84 BD	1	1	84 BD	0	差分なし
0x84BE	84 BE	1	0x00002542	╂	1	84 BE	1	0x00002542	╂	1	84 BE	1	1	84 BE	0	差分なし
0x84BF	84 BF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C0	84 C0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C1	84 C1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C2	84 C2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C3	84 C3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C4	84 C4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C5	84 C5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C6	84 C6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C7	84 C7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C8	84 C8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84C9	84 C9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84CA	84 CA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84CB	84 CB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84CC	84 CC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84CD	84 CD	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84CE	84 CE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84CF	84 CF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D0	84 D0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D1	84 D1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D2	84 D2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D3	84 D3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D4	84 D4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D5	84 D5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D6	84 D6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D7	84 D7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D8	84 D8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84D9	84 D9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84DA	84 DA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84DB	84 DB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84DC	84 DC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84DD	84 DD	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84DE	84 DE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84DF	84 DF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E0	84 E0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E1	84 E1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E2	84 E2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E3	84 E3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E4	84 E4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E5	84 E5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E6	84 E6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E7	84 E7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E8	84 E8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84E9	84 E9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84EA	84 EA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84EB	84 EB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84EC	84 EC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84ED	84 ED	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84EE	84 EE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84EF	84 EF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F0	84 F0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F1	84 F1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F2	84 F2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F3	84 F3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F4	84 F4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F5	84 F5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F6	84 F6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F7	84 F7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F8	84 F8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84F9	84 F9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84FA	84 FA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84FB	84 FB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x84FC	84 FC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8540	85 40	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8541	85 41	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8542	85 42	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8543	85 43	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8544	85 44	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8545	85 45	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8546	85 46	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8547	85 47	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8548	85 48	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8549	85 49	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x854A	85 4A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x854B	85 4B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x854C	85 4C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x854D	85 4D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x854E	85 4E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x854F	85 4F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8550	85 50	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8551	85 51	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8552	85 52	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8553	85 53	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8554	85 54	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8555	85 55	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8556	85 56	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8557	85 57	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8558	85 58	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8559	85 59	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x855A	85 5A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x855B	85 5B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x855C	85 5C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x855D	85 5D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x855E	85 5E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x855F	85 5F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8560	85 60	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8561	85 61	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8562	85 62	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8563	85 63	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8564	85 64	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8565	85 65	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8566	85 66	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8567	85 67	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8568	85 68	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8569	85 69	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x856A	85 6A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x856B	85 6B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x856C	85 6C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x856D	85 6D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x856E	85 6E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x856F	85 6F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8570	85 70	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8571	85 71	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8572	85 72	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8573	85 73	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8574	85 74	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8575	85 75	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8576	85 76	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8577	85 77	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8578	85 78	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8579	85 79	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x857A	85 7A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x857B	85 7B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x857C	85 7C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x857D	85 7D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x857E	85 7E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8580	85 80	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8581	85 81	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8582	85 82	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8583	85 83	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8584	85 84	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8585	85 85	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8586	85 86	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8587	85 87	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8588	85 88	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8589	85 89	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x858A	85 8A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x858B	85 8B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x858C	85 8C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x858D	85 8D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x858E	85 8E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x858F	85 8F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8590	85 90	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8591	85 91	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8592	85 92	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8593	85 93	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8594	85 94	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8595	85 95	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8596	85 96	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8597	85 97	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8598	85 98	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x8599	85 99	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x859A	85 9A	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x859B	85 9B	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x859C	85 9C	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x859D	85 9D	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x859E	85 9E	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x859F	85 9F	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A0	85 A0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A1	85 A1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A2	85 A2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A3	85 A3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A4	85 A4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A5	85 A5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A6	85 A6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A7	85 A7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A8	85 A8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85A9	85 A9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85AA	85 AA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85AB	85 AB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85AC	85 AC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85AD	85 AD	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85AE	85 AE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85AF	85 AF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B0	85 B0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B1	85 B1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B2	85 B2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B3	85 B3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B4	85 B4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B5	85 B5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B6	85 B6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B7	85 B7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B8	85 B8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85B9	85 B9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85BA	85 BA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85BB	85 BB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85BC	85 BC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85BD	85 BD	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85BE	85 BE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85BF	85 BF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C0	85 C0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C1	85 C1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C2	85 C2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C3	85 C3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C4	85 C4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C5	85 C5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C6	85 C6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C7	85 C7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C8	85 C8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85C9	85 C9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85CA	85 CA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85CB	85 CB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85CC	85 CC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85CD	85 CD	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85CE	85 CE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85CF	85 CF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D0	85 D0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D1	85 D1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D2	85 D2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D3	85 D3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D4	85 D4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D5	85 D5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D6	85 D6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D7	85 D7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D8	85 D8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85D9	85 D9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85DA	85 DA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85DB	85 DB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85DC	85 DC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85DD	85 DD	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85DE	85 DE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85DF	85 DF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E0	85 E0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E1	85 E1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E2	85 E2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E3	85 E3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E4	85 E4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E5	85 E5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E6	85 E6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E7	85 E7	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E8	85 E8	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85E9	85 E9	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85EA	85 EA	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85EB	85 EB	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85EC	85 EC	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85ED	85 ED	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85EE	85 EE	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85EF	85 EF	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F0	85 F0	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F1	85 F1	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F2	85 F2	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F3	85 F3	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F4	85 F4	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F5	85 F5	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
0x85F6	85 F6	0	0x00000000		0		0	0x00000000		0		0	0		0	差分なし
